ch_ref,ch_fow,amp_ref,amp_fow,thr_ref,thr_fow,ratio_ref,ratio_fow,width_ref,width_fow,p_ref,p_fow,latency,distance,detect_probability
D8,C6,39.0085616438356,7.17508561643836,18.9269180247914,19.3098955722156,2.0610097001921,0.37157557841806,4.47745228076352,4.07157858017181,49.7290239726027,9.23030821917808,0.3,223.606797749979,0.417380136986301
D8,A5,39.0085616438356,5.11087328767123,18.9269180247914,18.7522836932311,2.0610097001921,0.272546713311301,4.47745228076352,5.09709947313669,49.7290239726027,7.02183219178082,0.55,424.264068711929,0.294520547945205
D8,A4,39.0085616438356,5.26969178082192,18.9269180247914,16.8880834017513,2.0610097001921,0.312036105901482,4.47745228076352,3.66208863671223,49.7290239726027,7.35916095890411,0.6,500,0.39041095890411
D8,H7,39.0085616438356,6.55308219178082,18.9269180247914,19.6548681356961,2.0610097001921,0.333407588722485,4.47745228076352,4.08434321763491,49.7290239726027,9.38484589041096,0.7,412.310562561766,0.312928082191781
B6,F10,40.2353741496599,7.70612244897959,18.9707825327849,20.3141715508167,2.12091272883056,0.379347118818132,4.01973021271544,6.94860542862419,44.9925170068027,8.57142857142857,0.3,565.685424949238,0.243537414965986
B6,D9,40.2353741496599,8.33945578231292,18.9707825327849,17.2921823617871,2.12091272883056,0.482267397361119,4.01973021271544,4.80333355403149,44.9925170068027,8.53945578231292,0.15,360.555127546399,0.372789115646258
B6,B8,40.2353741496599,7.89183673469388,18.9707825327849,18.7626629550138,2.12091272883056,0.42061389439312,4.01973021271544,4.38190880882046,44.9925170068027,12.4224489795918,0.15,200,0.415646258503401
B6,A8,40.2353741496599,15.6687074829932,18.9707825327849,19.9187778679552,2.12091272883056,0.786629962283007,4.01973021271544,4.41984945286568,44.9925170068027,21.3006802721088,0.5,223.606797749979,0.595918367346939
B6,A6,40.2353741496599,57.2598639455782,18.9707825327849,19.77594149835,2.12091272883056,2.8954304881189,4.01973021271544,4.14499572002262,44.9925170068027,72.3414965986395,0.15,100,0.748299319727891
B6,A5,40.2353741496599,9.00884353741497,18.9707825327849,18.7522836932311,2.12091272883056,0.480413142462582,4.01973021271544,4.61293414083461,44.9925170068027,10.8156462585034,0.2,141.42135623731,0.374149659863946
B6,B5,40.2353741496599,11.0557823129252,18.9707825327849,17.4372706854876,2.12091272883056,0.634031696378176,4.01973021271544,4.31598754463708,44.9925170068027,12.4673469387755,0.15,100,0.126530612244898
B6,A4,40.2353741496599,8.90476190476191,18.9707825327849,16.8880834017513,2.12091272883056,0.52728078686765,4.01973021271544,3.72046884663432,44.9925170068027,12.9238095238095,0.25,223.606797749979,0.606122448979592
B6,C4,40.2353741496599,3.18639455782313,18.9707825327849,17.3797602430806,2.12091272883056,0.183339385196164,4.01973021271544,4.10051704519873,44.9925170068027,5.80204081632653,0.15,223.606797749979,0.0959183673469388
B6,E4,40.2353741496599,4.49659863945578,18.9707825327849,16.5279680527097,2.12091272883056,0.272059978886429,4.01973021271544,3.9070816810618,44.9925170068027,6.03537414965986,0.35,360.555127546399,0.0945578231292517
B6,H7,40.2353741496599,12.6850340136054,18.9707825327849,19.6548681356961,2.12091272883056,0.645388914645914,4.01973021271544,4.27547074164417,44.9925170068027,17.2469387755102,0.3,608.276253029822,0.495918367346939
E9,F11,44.7221789883268,3.2863813229572,19.2395397378395,18.9826853615151,2.32449318422982,0.173125206490537,4.24729128721221,4.65607167803601,62.2731517509728,5.99610894941634,0.55,223.606797749979,0.160311284046693
E9,E12,44.7221789883268,15.7182879377432,19.2395397378395,18.8174690980271,2.32449318422982,0.835302975966685,4.24729128721221,3.9311783922239,62.2731517509728,24.2420233463035,0.4,300,0.653696498054475
